Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,1077,3.4,2.5,4.4,,4/1/2014,3/31/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for heart attack patients,MORT_30_AMI,No Different than the National Rate,297,12.4,10.1,15.2,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for CABG surgery patients,MORT_30_CABG,No Different than the National Rate,91,2.8,1.4,5.2,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for COPD patients,MORT_30_COPD,No Different than the National Rate,512,6.4,4.9,8.4,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for heart failure patients,MORT_30_HF,No Different than the National Rate,831,10.4,8.6,12.5,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for pneumonia patients,MORT_30_PN,No Different than the National Rate,1337,17.1,15.2,19.2,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,246,14.7,11.7,18.3,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,No Different than the National Rate,2315,1.33,0.18,2.48,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,No Different than the National Rate,1977,6.7,2.5,10.89,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4078,4.69,3,6.37,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,2255,5.87,3.23,8.52,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,704,0.6,0,1.73,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2068,1.19,0.28,2.1,,10/1/2015,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Pressure sores,PSI_3_ULCER,No Different than the National Rate,9089,0.23,0,0.61,,10/1/2015,6/30/2017
