Score,Lower Estimate,Higher Estimate
3.4,2.5,4.4
12.4,10.1,15.2
2.8,1.4,5.2
6.4,4.9,8.4
10.4,8.6,12.5
17.1,15.2,19.2
14.7,11.7,18.3
1.33,0.18,2.48
6.7,2.5,10.89
4.69,3,6.37
5.87,3.23,8.52
0.6,0,1.73
1.19,0.28,2.1
0.23,0,0.61
175.39,136.85,213.94
0.25,0.07,0.44
0.11,0.04,0.18
2.79,1.58,4
0.98,0.75,1.22
3.1,2.1,4.6
13.1,10.1,16.6
3.2,1.4,6.8
9.1,7,11.8
13.4,10.6,17
16,13.5,18.8
14.9,11.3,19.3
0.93,0,2.17
6.15,0.78,11.51
3.43,1.22,5.64
4.57,1.49,7.65
0.73,0,1.97
1.63,0.63,2.64
0.1,0,0.66
153.28,106.38,200.17
0.31,0.1,0.52
0.1,0.03,0.18
2.08,0.71,3.46
0.8,0.5,1.09
