Score,Lower Estimate,Higher Estimate
2.7,1.8,3.9
12.6,9.9,15.9
2.8,1.3,6.4
9.4,7.3,12
11.3,9,14
19,16.2,22.2
14.9,11.6,18.7
1.06,0,2.39
26.43,20.85,32.01
4.39,2.4,6.38
5.13,1.86,8.39
0.66,0,1.84
1.4,0.41,2.39
0.33,0,0.79
160.32,118.01,202.63
0.32,0.12,0.52
0.1,0.03,0.18
2.49,1.16,3.82
1.53,1.24,1.82
2.4,1.6,3.5
14.6,11.7,18.1
3.3,1.7,5.8
8.4,6.4,10.9
11.3,9.4,13.7
14.9,12.8,17.1
12.9,10.4,15.8
2.15,0.99,3.3
11.63,7.61,15.66
2.55,0.74,4.37
4.08,1.43,6.73
0.59,0,1.7
1.15,0.25,2.05
0.36,0,0.77
158.4,115.21,201.59
0.2,0.01,0.39
0.12,0.05,0.2
1.92,0.66,3.19
1,0.76,1.23
3,1.9,4.8
11.6,8.9,14.9
2.8,1.1,6.7
7.6,5.5,10.4
11.3,8.8,14.3
15.3,12.6,18.5
15.8,12.5,19.8
1.19,0,2.6
11.99,5.82,18.17
3.6,1.22,5.97
4.11,0.58,7.64
0.78,0,2.06
1.13,0.08,2.19
0.1,0,0.67
182.61,133.49,231.73
0.43,0.22,0.64
0.12,0.04,0.19
2.43,0.95,3.92
0.98,0.66,1.31
2.9,1.9,4.4
12.5,9.6,16.1
7.6,5.4,10.5
11.3,8.7,14.6
16.7,13.7,20
13.9,10.7,18
1.26,0.01,2.51
6.65,2.49,10.81
3.44,1.33,5.55
4.49,1.72,7.27
0.67,0,1.87
0.98,0,1.96
0.1,0,0.65
173.59,129.61,217.58
0.23,0.02,0.44
0.1,0.03,0.18
1.87,0.51,3.24
0.79,0.53,1.06
1.9,1.3,2.9
12,9.2,15.4
8.2,5.7,11.4
11,8.8,13.7
13.4,10.9,16.5
11.7,8.9,15
1.24,0,2.66
5.36,0,11.45
4.19,1.86,6.51
4.08,0.56,7.6
0.78,0,2.07
1.14,0.09,2.2
0.13,0,0.79
0.3,0.08,0.52
0.1,0.03,0.18
2.56,1.03,4.08
0.81,0.47,1.14
3,2.1,4.2
1.29,0,2.75
5.63,0,12.75
3.05,0.4,5.7
4.71,0.93,8.49
0.39,0,1.51
0.29,0.06,0.52
0.11,0.03,0.19
2.56,0.96,4.16
0.86,0.43,1.29
1.3,0,2.77
6.21,0,13.68
3.65,0.75,6.55
5,1.1,8.89
0.29,0.06,0.52
0.11,0.03,0.19
2.53,0.94,4.12
0.93,0.48,1.37
1.3,0,2.77
7.26,0,15.35
3.81,0.85,6.77
5.1,1.17,9.04
1.27,0.16,2.38
0.11,0.03,0.19
2.57,0.97,4.18
0.97,0.51,1.43
1.3,0,2.76
6.68,0,14.44
3.73,0.8,6.66
4.98,1.09,8.87
1.25,0.14,2.35
0.29,0.06,0.52
0.11,0.03,0.19
2.53,0.94,4.12
0.94,0.49,1.39
