,County Name,Measure Name,Score Readmission,Score,Score Medicare
0,SHAWNEE,Hospital return days for heart attack patients,,-9.5,0.98
1,SHAWNEE,Hospital return days for heart failure patients,,-12.7,0.98
2,SHAWNEE,Hospital return days for pneumonia patients,,-15,0.98
3,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,15.8,0.98
4,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.4,0.98
5,SHAWNEE,Rate of readmission for CABG,,13.5,0.98
6,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.1,0.98
7,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,19.5,0.98
8,SHAWNEE,Rate of readmission after hip/knee replacement,,4.2,0.98
9,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,14.9,0.98
10,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.2,0.98
11,SHAWNEE,Rate of readmission for stroke patients,,12.3,0.98
12,SHAWNEE,Hospital return days for heart attack patients,,-7.1,0.98
13,SHAWNEE,Hospital return days for heart failure patients,,1,0.98
14,SHAWNEE,Hospital return days for pneumonia patients,,-2.2,0.98
15,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,Not Available,0.98
16,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.8,0.98
17,SHAWNEE,Rate of readmission for CABG,,13.8,0.98
18,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.4,0.98
19,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,21.3,0.98
20,SHAWNEE,Rate of readmission after hip/knee replacement,,4.6,0.98
21,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,15.2,0.98
22,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,17.6,0.98
23,SHAWNEE,Rate of readmission for stroke patients,,12.1,0.98
24,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,Not Available,0.98
25,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,20.8,0.98
