Provider_ID,Hospital Name,Address,City,State,ZIP Code,County,Measure Name,Measure ID,National Rate,Compare to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnotes,Measure Start Date,Measure End Date
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,112,12.6,9.4,16.4,,7/1/14,6/30/17
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,Better than the National Rate,414,8.8,6.9,11.6,,7/1/14,6/30/17
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,199,13.5,10.6,17.2,,7/1/14,6/30/17
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,No Different than the National Rate,117,16.5,13.1,20.7,,7/1/14,6/30/17
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,No Different than the National Rate,581,24,21,27.3,,7/1/14,6/30/17
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,224,18.3,15.2,22,,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,Number of Cases Too Small,N/A,N/A,N/A,N/A,1,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,91,9.3,6.2,13.5,,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,70,15.8,11.4,21.2,,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,Number of Cases Too Small,N/A,N/A,N/A,N/A,1,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,No Different than the National Rate,111,22.4,18.2,27.2,,7/1/14,6/30/17
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,72,16.7,13,20.8,,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,N/A,N/A,N/A,N/A,N/A,5,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,98,13,9.8,17.2,,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,408,10.8,8.2,14.2,,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,323,15.7,12.4,19.9,,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,No Different than the National Rate,106,18.1,14.6,22.4,,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,Worse than the National Rate,518,26.6,23.1,30.4,,7/1/14,6/30/17
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,395,16,13.4,19.2,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,264,13.7,11,17.1,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,506,10.1,8,12.6,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,536,14.2,11.6,17.2,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,Worse than the National Rate,282,22.8,19.2,27.3,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,Worse than the National Rate,611,25.7,22.5,28.9,,7/1/14,6/30/17
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,Worse than the National Rate,607,21.7,18.9,24.8,,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,Number of Cases Too Small,N/A,N/A,N/A,N/A,1,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,59,11.3,7.7,16.4,,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,217,12.9,9.5,17,,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,Number of Cases Too Small,N/A,N/A,N/A,N/A,1,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,No Different than the National Rate,80,23.8,19.1,29.6,,7/1/14,6/30/17
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,260,17,13.7,20.6,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,25,13.4,9.8,18.1,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,175,11.6,8.3,15.7,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,279,13.5,10.3,17.4,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,No Different than the National Rate,25,17.3,13.7,21.6,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,No Different than the National Rate,238,25.4,21.4,29.9,,7/1/14,6/30/17
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,323,17.9,15,21.4,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,242,13.6,10.8,17,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,550,10.8,8.6,13.5,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,500,12.8,10.4,15.7,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,No Different than the National Rate,254,19.3,15.8,23.1,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,Worse than the National Rate,723,32.6,29.2,36.1,,7/1/14,6/30/17
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,Worse than the National Rate,576,25.2,22.2,28.5,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,83,13.5,10.5,17.3,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,291,12.3,9.5,15.7,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,No Different than the National Rate,252,16.4,12.9,20.4,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,No Different than the National Rate,73,16.6,13.1,20.7,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,Worse than the National Rate,342,26.9,23.2,31.2,,7/1/14,6/30/17
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,No Different than the National Rate,274,17.3,14.2,20.8,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,114,12.2,9.2,16,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,Better than the National Rate,410,7.5,5.6,9.9,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Pneumonia (PN) 30-Day Mortality Rate,MORT-30-PN,,Better than the National Rate,370,12.5,9.9,15.5,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM-30-AMI,,Worse than the National Rate,113,21.2,17.2,26.3,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Heart failure (HF) 30-Day Readmission Rate,READM-30-HF,,Worse than the National Rate,535,29.9,26.3,33.8,,7/1/14,6/30/17
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,Pneumonia (PN) 30-Day Readmission Rate,READM-30-PN,,Worse than the National Rate,403,22,18.8,25.5,,7/1/14,6/30/17
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT-30-AMI,,No Different than the National Rate,96,12.1,9,16.2,,7/1/14,6/30/17
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,Heart failure (HF) 30-Day Mortality Rate,MORT-30-HF,,No Different than the National Rate,409,13.9,11,17.2,,7/1/14,6/30/17
