Score,Lower Estimate,Higher Estimate
3.1,2.1,4.5
13.3,11.1,15.8
2.5,1.4,4.4
8.7,6.9,11
13.2,11.5,15.3
18.4,16.6,20.5
16.7,14.6,19
1.67,0.71,2.62
4.28,0.78,7.79
3.99,2.58,5.4
6.2,3.97,8.43
1.07,0.07,2.06
1.05,0.25,1.85
0.57,0.29,0.85
187.61,155.68,219.54
0.22,0.06,0.39
0.11,0.04,0.18
2.4,1.36,3.44
0.99,0.8,1.18
2,1.3,3
12.8,10.8,15
3.2,1.8,5.4
9.2,6.9,12.1
14.5,12.3,17
17.1,14.8,19.5
13.3,11.1,15.8
1.52,0.48,2.55
4.98,1.66,8.31
2.33,0.83,3.82
5.77,3.35,8.19
0.5,0,1.52
1.18,0.33,2.03
0.03,0,0.33
156.66,122.32,191
0.26,0.09,0.43
0.09,0.02,0.17
1.76,0.64,2.88
0.76,0.56,0.96
1.6,1.1,2.2
1.24,0,2.66
3.47,0,9.05
2.32,0.01,4.63
3.95,0.49,7.42
0.32,0,1.35
0.28,0.05,0.51
0.15,0.07,0.22
2.45,0.89,4.02
0.71,0.33,1.09
13.1,10.4,16.6
2.6,1.5,4.2
12.6,9.4,16.5
1.55,0.5,2.6
4.72,0,11.24
2.88,0.48,5.27
3.63,0.72,6.53
0.83,0,2.15
1.21,0.12,2.3
0.14,0,0.83
159.54,110.12,208.96
0.25,0.03,0.47
0.11,0.03,0.18
2.1,0.83,3.37
0.71,0.38,1.04
2.2,1.3,3.8
1.18,0,2.58
2.22,0,6.68
2.28,0,4.58
3.6,0.3,6.91
0.83,0,2.16
1.25,0.15,2.36
0.29,0,1.25
0.28,0.05,0.5
0.11,0.03,0.18
2.22,0.8,3.64
0.63,0.28,0.98
2.9,1.7,4.9
12.9,9.5,17.5
8.6,5.8,12.3
13.6,9.7,18.4
14.1,11,18
13.6,9.6,19
1.28,0,2.73
9.01,1.9,16.13
3.74,1.01,6.46
6.86,3.08,10.63
0.8,0,2.11
1.22,0.13,2.31
0.26,0,1.18
0.32,0.1,0.55
0.11,0.03,0.18
2.49,0.91,4.06
1.07,0.67,1.47
11.9,8.8,16
10.5,7.6,14.5
17.4,13.3,22.4
