Score,Lower Estimate,Higher Estimate
2.5,1.7,3.7
13.7,10.8,17.5
1.6,0.9,3.1
6.7,4.8,9.3
8.5,6.8,10.6
11.8,9.6,14.4
13.3,10.6,16.4
0.66,0,1.39
5.75,3.16,8.34
3.93,2.68,5.17
6.84,5.16,8.52
0.62,0,1.51
0.85,0.13,1.57
0.2,0,0.47
129.08,100.13,158.03
0.26,0.1,0.42
0.11,0.04,0.18
2.95,2.07,3.83
0.92,0.76,1.07
3.3,2,5.4
12.1,9.8,15.1
5.4,2.4,11.3
6.6,4.9,9
8,6.2,10.2
12.5,10.5,14.6
13.7,10.7,17.3
0.86,0,2.05
3.02,0,7.04
2.34,0.18,4.49
3.39,0.61,6.17
0.73,0,1.97
1.05,0.04,2.07
0.05,0,0.47
129.65,84.86,174.44
0.21,0.01,0.41
0.1,0.03,0.17
2,0.59,3.42
0.55,0.3,0.8
