Provider ID,Hospital Name,Address,City,State,Zip Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Hospital return days for heart attack patients,EDAC_30_AMI,Average days per 100 discharges,312,3.8,-10.9,19.8,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Hospital return days for heart failure patients,EDAC_30_HF,Fewer days than average per 100 discharges,1027,-18.4,-29.7,-5.3,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Hospital return days for pneumonia patients,EDAC_30_PN,More days than average per 100 discharges,1532,12.8,2.9,22.9,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP-32,No Different than the National Rate,626,18.1,13.1,24.7,,1/1/2016,12/31/2016
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,No Different than the National Rate,312,16,13.3,19,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Rate of readmission for CABG,READM_30_CABG,No Different than the National Rate,89,14.3,10.7,18.9,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No Different than the National Rate,610,20.1,17.7,22.8,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,No Different than the National Rate,1027,20.5,18.4,22.8,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,Worse than the National Rate,1179,5.6,4.5,6.7,,7/1/2014,6/30/2017
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,READM_30_HOSP_WIDE,No Different than the National Rate,5605,15.8,15,16.6,,7/1/2016,6/30/2017
