Score,Lower Estimate,Higher Estimate
2.6,1.5,4.6
13,10.1,16.5
2.9,1.4,6.2
8,5.9,10.7
13,9.9,16.8
12.5,9.6,15.8
20.3,16.6,24.4
1.04,0,2.18
7.77,3.46,12.08
3.42,1.4,5.43
5.65,2.97,8.33
0.66,0,1.84
0.95,0,1.92
0.17,0,0.59
166.86,130.2,203.53
0.28,0.09,0.48
0.1,0.03,0.18
2.31,1.07,3.55
0.9,0.65,1.15
2.7,1.5,4.7
15.1,11,19.9
7.8,5.3,11.5
11.6,7.8,16.8
16.2,11.9,21.3
13.3,9.4,18.6
1.23,0,2.65
10.34,3.88,16.8
3.69,1.15,6.24
4.85,1.28,8.42
1.24,0,2.5
1.15,0.09,2.21
0.36,0,0.98
158.8,108.43,209.16
0.35,0.13,0.57
0.11,0.03,0.18
2.5,0.99,4
1.04,0.7,1.38
3.4,2.2,5.3
11.1,8.7,13.8
2.8,1.2,6.1
6.9,5,9.1
8.9,7.1,11.2
12.4,10.8,14.2
12.8,10.1,16
1.47,0.12,2.82
6.42,0.98,11.86
2.96,0.81,5.11
3.5,0.24,6.76
0.77,0,2.05
1.05,0.04,2.07
0.05,0,0.47
160.17,113.92,206.42
0.25,0.05,0.45
0.1,0.03,0.18
1.99,0.58,3.4
0.72,0.44,1.01
2.8,1.9,4.3
11.8,9.1,14.9
3.1,1.3,6.9
9.2,7.2,11.5
13.1,10.7,15.9
19.2,16.4,21.9
15.3,12.1,19.2
1.6,0.34,2.86
8.02,3.26,12.79
2.51,0.41,4.61
4.8,1.64,7.95
0.68,0,1.89
1.01,0.02,2.01
0.07,0,0.53
176.33,132.7,219.96
0.22,0.02,0.42
0.1,0.03,0.17
2.08,0.7,3.45
0.82,0.54,1.09
2.5,1.4,4.2
9,6.1,13.2
14.9,10.9,20
1.31,0,2.77
7.12,0,15.12
3.57,0.7,6.44
1.27,0.16,2.39
0.28,0,1.25
0.28,0.05,0.51
0.14,0.06,0.21
2.57,0.96,4.17
0.93,0.5,1.35
2.8,1.7,4.5
11.6,9.2,14.5
2.2,1.3,3.9
9.4,7.1,12.3
9.8,8,12
14.2,11.8,16.9
13.6,11.7,15.7
1.22,0.35,2.09
7.72,4.09,11.34
5.72,4.2,7.24
5.79,3.63,7.94
0.55,0,1.62
1.2,0.34,2.06
0.2,0,0.49
159.13,127.08,191.19
0.41,0.23,0.58
0.1,0.02,0.17
3.38,2.39,4.38
1.08,0.88,1.27
2.8,1.7,4.5
13.3,9.9,17.1
8.1,5.7,11.5
13.2,9.8,17.7
16.4,12.8,20.5
13.3,10.3,17.2
1.24,0,2.67
8.99,1.88,16.1
4.49,1.83,7.14
4.57,0.85,8.3
0.82,0,2.15
1.22,0.13,2.31
0.18,0,0.94
0.26,0.04,0.48
0.11,0.03,0.18
2.41,0.86,3.96
0.96,0.58,1.33
2.9,1.9,4.7
12.4,9.6,15.8
8.4,5.9,11.7
8.3,5.9,11.5
12.7,10.6,15.1
12.9,9.7,16.6
1.23,0,2.65
4.87,0,11.49
3.19,0.67,5.7
4.64,0.89,8.4
0.81,0,2.12
1.18,0.11,2.25
0.1,0,0.67
164.36,114.42,214.29
0.25,0.03,0.46
0.13,0.06,0.21
2.35,0.81,3.88
0.76,0.41,1.1
3,1.9,4.8
12.9,10.5,15.8
8.7,6.7,11.2
10.7,8.8,12.9
10.9,9.1,13
13.5,10.8,16.9
1.19,0,2.58
5.95,0.18,11.71
3.35,1.17,5.53
6.47,3.15,9.79
0.69,0,1.9
1.01,0.02,2.01
0.2,0,0.65
169.15,119.94,218.36
0.22,0.02,0.43
0.1,0.03,0.17
2.96,1.51,4.41
0.9,0.61,1.2
12.8,9.6,17
9.2,6.9,11.9
12.6,10,15.9
